DATE,STATION_NUMBER,DISCHARGE
2008-05-20,05BB001,75.30000305175781
2008-05-21,05BB001,99.3000030517578
2008-05-22,05BB001,97.3000030517578
2008-05-23,05BB001,82.19999694824219
2008-05-24,05BB001,73.69999694824219
2008-05-25,05BB001,80.19999694824219
2008-05-26,05BB001,85.0999984741211
2008-05-27,05BB001,76.4000015258789
2008-05-28,05BB001,76.80000305175781
2008-05-29,05BB001,83.5
2008-05-30,05BB001,93.0999984741211
2008-05-31,05BB001,98.0
2008-06-01,05BB001,108.0
2008-06-02,05BB001,119.0
2008-06-03,05BB001,132.0
2008-06-04,05BB001,134.0
2008-06-05,05BB001,137.0
2008-06-06,05BB001,138.0
2008-06-07,05BB001,123.0
2008-06-08,05BB001,107.0
2008-06-09,05BB001,96.5
2008-06-10,05BB001,89.0999984741211
