DATE,STATION_NUMBER,DISCHARGE
2008-11-10,05DA009,13.300000190734863
2008-11-11,05DA009,13.100000381469728
2008-11-12,05DA009,12.699999809265137
2008-11-13,05DA009,12.199999809265137
2008-11-14,05DA009,10.5
2008-11-15,05DA009,11.800000190734863
2008-11-16,05DA009,11.600000381469728
2008-11-17,05DA009,11.399999618530272
2008-11-18,05DA009,11.0
2008-11-19,05DA009,10.699999809265137
2008-11-20,05DA009,10.300000190734863
2008-11-21,05DA009,10.399999618530272
2008-11-22,05DA009,9.800000190734863
2008-11-23,05DA009,9.229999542236328
2008-11-24,05DA009,9.0
2008-11-25,05DA009,9.100000381469728
2008-11-26,05DA009,9.300000190734863
2008-11-27,05DA009,9.5
2008-11-28,05DA009,9.699999809265137
2008-11-29,05DA009,10.0
2008-11-30,05DA009,9.800000190734863
2008-12-01,05DA009,9.600000381469728
2008-12-02,05DA009,9.199999809265137
2008-12-03,05DA009,8.25
2008-12-04,05DA009,8.600000381469727
2008-12-05,05DA009,8.899999618530273
2008-12-06,05DA009,9.199999809265137
2008-12-07,05DA009,9.329999923706056
2008-12-08,05DA009,9.220000267028809
2008-12-09,05DA009,8.869999885559082
2008-12-10,05DA009,8.789999961853027
2008-12-11,05DA009,8.619999885559082
2008-12-12,05DA009,8.449999809265137
2008-12-13,05DA009,8.029999732971191
2008-12-14,05DA009,7.599999904632568
2008-12-15,05DA009,7.0
2008-12-16,05DA009,7.300000190734863
2008-12-17,05DA009,7.599999904632568
2008-12-18,05DA009,7.400000095367432
2008-12-19,05DA009,7.199999809265137
2008-12-20,05DA009,7.0
2008-12-21,05DA009,7.099999904632568
2008-12-22,05DA009,7.300000190734863
2008-12-23,05DA009,7.199999809265137
2008-12-24,05DA009,7.099999904632568
2008-12-25,05DA009,7.0
2008-12-26,05DA009,6.960000038146973
2008-12-27,05DA009,6.900000095367432
2008-12-28,05DA009,6.849999904632568
2008-12-29,05DA009,6.800000190734863
2008-12-30,05DA009,6.75
2008-12-31,05DA009,6.710000038146973
2009-01-01,05DA009,6.670000076293945
2009-01-02,05DA009,5.860000133514404
2009-01-03,05DA009,5.769999980926514
2009-01-04,05DA009,6.25
2009-01-05,05DA009,6.510000228881836
2009-01-06,05DA009,6.699999809265137
2009-01-07,05DA009,6.550000190734863
2009-01-08,05DA009,6.309999942779541
2009-01-09,05DA009,6.730000019073486
2009-01-10,05DA009,6.670000076293945
2009-01-11,05DA009,6.449999809265137
2009-01-12,05DA009,6.300000190734863
2009-01-13,05DA009,6.210000038146973
2009-01-14,05DA009,6.300000190734863
2009-01-15,05DA009,6.570000171661377
2009-01-16,05DA009,6.840000152587891
2009-01-17,05DA009,7.199999809265137
2009-01-18,05DA009,7.800000190734863
2009-01-19,05DA009,8.729999542236328
2009-01-20,05DA009,8.630000114440918
2009-01-21,05DA009,8.489999771118164
2009-01-22,05DA009,8.039999961853027
2009-01-23,05DA009,7.0
2009-01-24,05DA009,6.0
2009-01-25,05DA009,5.0
2009-01-26,05DA009,3.900000095367432
2009-01-27,05DA009,4.46999979019165
2009-01-28,05DA009,6.25
2009-01-29,05DA009,6.400000095367432
2009-01-30,05DA009,6.309999942779541
2009-01-31,05DA009,5.489999771118164
2009-02-01,05DA009,6.25
2009-02-02,05DA009,6.590000152587891
2009-02-03,05DA009,6.800000190734863
2009-02-04,05DA009,6.699999809265137
2009-02-05,05DA009,5.920000076293945
2009-02-06,05DA009,5.699999809265137
2009-02-07,05DA009,6.46999979019165
2009-02-08,05DA009,6.300000190734863
